date,Equity_Sim,Bond_Sim,Commodity_Sim
2023-01-02,0.01616555,0.00179295,-0.00993762
2023-01-03,0.00044648,0.00124819,0.01623350
2023-01-04,0.02168991,0.00066182,-0.00657888
2023-01-05,-0.00598188,0.00461922,-0.00286227
2023-01-06,0.00454276,0.00444813,0.00391648
2023-01-09,0.01498232,-0.00021876,-0.00702271
2023-01-10,-0.01609407,0.00097735,-0.02735504
2023-01-11,0.02011371,-0.00141430,-0.00588424
2023-01-12,-0.00302745,0.00348551,-0.02227491
2023-01-13,-0.00748513,0.00043474,0.00387658
2023-01-16,0.01369982,-0.00097949,0.01370333
2023-01-17,-0.00148422,-0.00686983,-0.00197175
2023-01-18,-0.00341264,-0.00073513,-0.00632587
2023-01-19,0.00774421,0.00254669,0.03202688
2023-01-20,0.00359474,-0.00148676,-0.00588940
2023-01-23,-0.02767802,-0.00177378,-0.02354132
2023-01-24,-0.00151024,-0.00105863,-0.01602658
2023-01-25,0.01984348,-0.00050120,0.01151115
2023-01-26,0.00461069,0.00179523,-0.02999744
2023-01-27,-0.00223507,-0.00278664,0.01584554
2023-01-30,0.00648507,-0.00103114,-0.00954717
2023-01-31,0.00121987,0.00058712,-0.05129970
2023-02-01,-0.00698516,0.00156406,0.00563994
2023-02-02,0.02305473,0.00152273,0.01967978
2023-02-03,-0.00106237,0.00768937,0.00189420
2023-02-06,0.00258242,0.00503785,0.01345093
2023-02-07,-0.00321918,0.00138648,0.00410154
2023-02-08,-0.01507942,-0.00065959,-0.01215903
2023-02-09,-0.00030776,-0.00367122,-0.01738943
2023-02-10,0.00890951,-0.00000514,0.01334396
2023-02-13,-0.01131603,0.00174643,0.02148810
2023-02-14,-0.00581109,0.00089208,0.00736504
2023-02-15,0.00312552,0.00266444,0.00787013
2023-02-16,-0.00380767,0.00092987,-0.00783272
2023-02-17,-0.00824409,-0.00210842,0.00712862
2023-02-20,0.00052659,-0.00332068,-0.01161161
2023-02-21,-0.00696685,-0.00458284,0.00009958
2023-02-22,-0.00548238,0.00258465,0.03760551
2023-02-23,0.02127310,0.00077834,-0.00379033
2023-02-24,0.00007123,-0.00305672,0.01813666
2023-02-27,0.00149563,0.00235853,-0.01402248
2023-02-28,0.01127086,-0.00260591,0.00144554
2023-03-01,-0.00636531,-0.00041859,-0.00159273
2023-03-02,0.00347454,0.00086742,-0.00412798
2023-03-03,0.00443456,0.00507550,-0.00867407
2023-03-06,0.00144327,-0.00011874,-0.03098961
2023-03-07,-0.01039086,-0.00446522,0.00750312
2023-03-08,-0.02317876,-0.00313537,-0.01691596
2023-03-09,-0.01435516,0.00001111,-0.00691715
2023-03-10,-0.00108951,0.00229076,-0.02261699
2023-03-13,0.00396046,0.00393589,-0.02414894
2023-03-14,-0.01263177,0.00119097,-0.00881629
2023-03-15,-0.00844200,-0.00413569,-0.00596733
2023-03-16,0.00018123,-0.00012749,-0.00937062
2023-03-17,-0.01779192,-0.00538528,0.00513214
2023-03-20,0.02476612,0.00029391,0.02701146
2023-03-21,-0.02226888,-0.00603954,-0.02140611
2023-03-22,-0.01441892,0.00013159,0.02092192
2023-03-23,0.00066723,-0.00013755,0.01357357
2023-03-24,-0.00409600,0.00146985,-0.00792735
2023-03-27,0.00687514,0.00013082,0.02122359
2023-03-28,-0.00491153,-0.00093196,0.00929719
2023-03-29,-0.00117805,0.00239155,-0.00764469
2023-03-30,0.00386368,-0.00047867,0.03415152
2023-03-31,-0.00039242,-0.00077386,-0.01914498
2023-04-03,-0.00503553,-0.00188028,-0.03827571
2023-04-04,-0.01598650,-0.00135266,-0.02420692
2023-04-05,0.01822290,0.00112342,0.00581181
2023-04-06,-0.01126594,0.00279249,-0.02877376
2023-04-07,0.01951276,0.00068379,0.00287711
2023-04-10,0.00212496,0.00443622,-0.00757398
2023-04-11,-0.00269800,-0.00048135,0.03226057
2023-04-12,0.00844100,-0.00010162,0.03151133
2023-04-13,0.00183284,0.00306103,-0.00297811
2023-04-14,0.00089876,-0.00317705,-0.02147618
2023-04-17,-0.01507306,-0.00269258,-0.02123225
2023-04-18,0.00121456,-0.00918081,-0.01090761
2023-04-19,-0.01240388,0.00285882,-0.01562033
2023-04-20,-0.00257577,0.00623123,0.00183151
2023-04-21,-0.01510194,-0.00507275,0.01479088
2023-04-24,0.00958721,0.00161350,0.04375484
2023-04-25,-0.00766917,0.00118471,-0.00831253
2023-04-26,0.00639594,-0.00256020,-0.00368700
2023-04-27,0.00281023,0.00132347,0.00055440
2023-04-28,0.00326725,0.00400776,0.00851111
2023-05-01,-0.02402369,0.00116910,-0.03241682
2023-05-02,0.00189417,-0.00461075,0.00797907
2023-05-03,0.02312288,-0.00102417,0.00169581
2023-05-04,0.00385916,-0.00336629,-0.00060393
2023-05-05,0.00025925,0.00518207,0.02939435
2023-05-08,-0.00093853,0.00222929,0.01970732
2023-05-09,-0.01108347,0.00227030,-0.02293330
2023-05-10,0.01699674,-0.00102701,0.03233485
2023-05-11,-0.00136996,-0.00376667,-0.01603558
2023-05-12,0.00438158,0.00092026,-0.01085069
2023-05-15,0.01416623,-0.00154970,0.00455245
2023-05-16,0.01645392,0.00044072,-0.01522794
2023-05-17,0.00208921,0.00518600,-0.02270960
2023-05-18,-0.00642585,0.00122378,-0.03758807
2023-05-19,0.00787659,0.00179802,-0.03177205
2023-05-22,-0.01663020,0.00549809,-0.03396191
2023-05-23,-0.00282736,0.00115580,-0.00469668
2023-05-24,0.00050533,-0.00103298,0.04673958
2023-05-25,-0.00159399,-0.00173174,0.00417656
2023-05-26,-0.01717380,-0.00409685,-0.01228563
2023-05-29,0.00698141,0.00111973,-0.00245591
2023-05-30,0.01224821,-0.00214973,-0.01284046
2023-05-31,-0.00409519,0.00098445,-0.01714556
2023-06-01,-0.00564380,-0.00384686,-0.01089443
2023-06-02,0.01899113,0.00206849,-0.00439903
2023-06-05,-0.00354594,0.00392842,-0.01717018
2023-06-06,0.00106384,-0.00112907,0.00343607
2023-06-07,0.02496846,-0.00263175,0.00831031
2023-06-08,-0.02201248,0.00075130,-0.02791623
2023-06-09,0.01148810,-0.00129096,-0.00109251
2023-06-12,-0.00375966,-0.00077436,0.00297619
2023-06-13,-0.00376416,0.00267906,-0.01845316
2023-06-14,0.02170341,-0.00134563,0.01524983
2023-06-15,-0.00106355,0.00100779,0.00933009
2023-06-16,-0.01730446,-0.00207066,-0.00920025
2023-06-19,-0.02542442,0.00267985,0.00128134
2023-06-20,-0.01238544,-0.00008968,0.00893162
2023-06-21,-0.00960403,-0.00127113,-0.01002454
2023-06-22,0.00811560,0.00654907,0.02278145
2023-06-23,-0.01391694,-0.00139153,0.01178740
2023-06-26,0.01216625,-0.00147149,-0.01226000
2023-06-27,-0.01147417,-0.00567967,-0.01223976
2023-06-28,0.01462436,0.00508220,0.03029302
2023-06-29,0.00165435,0.00453790,-0.00436511
2023-06-30,-0.00536440,-0.00276436,-0.03755177
2023-07-03,-0.00050732,-0.00277444,0.00274887
2023-07-04,-0.00918219,-0.00906519,-0.00965878
2023-07-05,-0.02563470,-0.00241372,-0.02519519
2023-07-06,-0.00616399,0.00353983,0.01356771
2023-07-07,0.00354669,0.00445653,0.00737907
2023-07-10,-0.02259826,0.00071303,-0.03528549
2023-07-11,-0.00001459,0.00364766,0.01632138
2023-07-12,0.01112803,0.00030343,0.03300828
2023-07-13,-0.01442928,-0.00515623,0.01464273
2023-07-14,0.01916400,0.00486954,0.01361370
2023-07-17,-0.01097006,0.00195635,0.02337373
2023-07-18,0.02343855,0.00030823,0.02455091
2023-07-19,0.00957067,-0.00276707,-0.00583897
2023-07-20,-0.00166899,0.00200542,-0.00845463
2023-07-21,0.01026003,0.00229751,0.02751052
2023-07-24,-0.00477673,-0.00321428,0.01517938
2023-07-25,0.01621079,0.00508898,0.01992179
2023-07-26,-0.00109128,-0.00033727,-0.01204774
2023-07-27,-0.00066382,0.00245430,-0.00470813
2023-07-28,0.01595583,0.00398766,-0.02470565
2023-07-31,0.00916746,-0.00266519,0.00837927
2023-08-01,0.00054151,-0.00656008,0.02585003
2023-08-02,-0.01853085,0.00157274,-0.00811534
2023-08-03,0.00554465,-0.00053844,-0.01425870
2023-08-04,0.01197092,0.00724400,0.04057129
2023-08-07,-0.01443770,-0.00152087,-0.00196306
2023-08-08,-0.01397829,-0.00127378,-0.01221837
2023-08-09,-0.00112483,0.00151516,-0.00178084
2023-08-10,0.00454925,0.00283390,0.01476307
2023-08-11,-0.00180125,0.00257643,0.02605381
2023-08-14,0.01263142,-0.00057746,0.01753499
2023-08-15,0.00442884,0.00651766,-0.00215939
2023-08-16,-0.00165799,0.00112693,0.00953341
2023-08-17,-0.00417825,0.00025326,-0.00539087
2023-08-18,0.00328679,-0.00257558,0.00910978
2023-08-21,0.00832424,0.00342665,0.01299584
2023-08-22,0.01572607,0.00440181,0.01696872
2023-08-23,0.00525922,0.00104084,-0.00558962
2023-08-24,-0.00775342,-0.00331152,-0.02102494
2023-08-25,0.01006523,-0.00130998,0.00040470
2023-08-28,0.00354163,0.00637619,0.01417579
2023-08-29,-0.00911034,0.00139345,-0.01672335
2023-08-30,0.02363075,-0.00051479,-0.01294955
2023-08-31,-0.01108583,0.00373775,0.00958131
2023-09-01,-0.00511038,-0.00033168,-0.02036571
2023-09-04,0.00609900,0.00040348,0.00352146
2023-09-05,-0.00319039,-0.00025882,-0.00662378
2023-09-06,0.01034329,0.00199654,0.01464106
2023-09-07,-0.00166052,0.00017934,0.02440633
2023-09-08,0.00176721,-0.00116094,0.03435043
2023-09-11,-0.00269525,0.00534207,-0.01362108
2023-09-12,0.00261549,0.00236267,-0.02797039
2023-09-13,-0.01490430,0.00173104,0.00237948
2023-09-14,0.00889101,0.00084641,-0.01909953
2023-09-15,0.00180733,-0.00052810,-0.00552208
2023-09-18,-0.00755342,-0.00068672,-0.01234054
2023-09-19,-0.01779073,-0.00364702,-0.03500804
2023-09-20,0.01978627,0.00144309,-0.02029689
